publisher-location,reference-count,publisher,short-container-title,DOI,type,source,is-referenced-by-count,title,prefix,author,member,container-title,original-title,score,subtitle,short-title,references-count,URL,subject,indexed.date-parts,indexed.date-time,indexed.timestamp,content-domain.domain,content-domain.crossmark-restriction,published-print.date-parts,created.date-parts,created.date-time,created.timestamp,deposited.date-parts,deposited.date-time,deposited.timestamp,resource.primary.URL,issued.date-parts,published.date-parts,page,volume,ISSN,issn-type,issue,language,journal-issue.issue,journal-issue.published-print.date-parts,institution,license,abstract,subtype,posted.date-parts,editor,standards-body.name,standards-body.acronym,approved.date-parts
London :,0,"H.G. Bohn,",[],10.5962/bhl.title.49941,monograph,Crossref,1,['A selection of the birds of Brazil and Mexico : the drawings /'],10.5962,"[{'given': 'William', 'family': 'Swainson', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.49941,[],"[[2022, 10, 5]]",2022-10-05T17:49:47Z,1664992187989,[],False,[[1841]],"[[2011, 11, 23]]",2011-11-23T21:51:04Z,1322085064000,"[[2011, 11, 23]]",2011-11-23T21:51:19Z,1322085079000,http://www.biodiversitylibrary.org/bibliography/49941,[[1841]],[[1841]],,,,,,,,,,,,,,,,,
"Washington, D.C. :",0,"U.S. Dept. of Agriculture,",[],10.5962/bhl.title.108915,monograph,Crossref,1,['Land reclamation policies in the United States /'],10.5962,"[{'given': 'R. P.', 'family': 'Teele', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.108915,[],"[[2022, 12, 20]]",2022-12-20T14:08:19Z,1671545299039,[],False,[[1924]],"[[2015, 10, 19]]",2015-10-19T06:38:54Z,1445236734000,"[[2015, 10, 19]]",2015-10-19T06:38:54Z,1445236734000,http://www.biodiversitylibrary.org/bibliography/108915,[[1924]],[[1924]],,,,,,,,,,,,,,,,,
"Portland, Or. :",0,"Pacific Northwest Forest and Range Experiment Station, U.S. Dept. of Agriculture,",[],10.5962/bhl.title.94153,monograph,Crossref,2,['Pruning of ponderosa pine : effect on growth /'],10.5962,"[{'given': 'James W.', 'family': 'Barrett', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.94153,[],"[[2023, 8, 19]]",2023-08-19T02:13:24Z,1692411204221,[],False,[[1968]],"[[2014, 9, 14]]",2014-09-14T06:00:53Z,1410674453000,"[[2014, 9, 14]]",2014-09-14T06:00:53Z,1410674453000,http://www.biodiversitylibrary.org/bibliography/94153,[[1968]],[[1968]],,,,,,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5962/bhl.part.23369,journal-article,Crossref,1,['Zwei neue südamerikanische Microdon-Arten'],10.5962,"[{'given': 'Mario', 'family': 'Bezzi', 'sequence': 'first', 'affiliation': []}]",3444,['Wiener entomologische Zeitung.'],[],1,[],[],0,https://doi.org/10.5962/bhl.part.23369,[],"[[2023, 8, 18]]",2023-08-18T19:08:52Z,1692385732211,[],False,[[1910]],"[[2016, 1, 15]]",2016-01-15T09:04:54Z,1452848694000,"[[2016, 1, 15]]",2016-01-15T09:04:54Z,1452848694000,http://www.biodiversitylibrary.org/part/23369,[[1910]],[[1910]],319-320,29,['1562-0891'],"[{'value': '1562-0891', 'type': 'print'}]",,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5479/si.00963801.30-1462.695,journal-article,Crossref,2,"['List of fishes collected on Tanega and Yaku, offshore islands of southern Japan, by Robert Van Vleck Anderson, with descriptions of seven new species']",10.5479,"[{'given': 'David Starr', 'family': 'Jordan', 'sequence': 'first', 'affiliation': []}, {'given': 'Edwin Chapin', 'family': 'Starks', 'sequence': 'additional', 'affiliation': []}]",3444,['Proceedings of the United States National Museum'],[],1,[],[],0,https://doi.org/10.5479/si.00963801.30-1462.695,[],"[[2023, 8, 18]]",2023-08-18T17:53:06Z,1692381186330,[],False,[[1906]],"[[2011, 10, 11]]",2011-10-11T21:18:02Z,1318367882000,"[[2014, 7, 15]]",2014-07-15T21:11:49Z,1405458709000,https://repository.si.edu/handle/10088/13889,[[1906]],[[1906]],695-706,30,['0096-3801'],"[{'value': '0096-3801', 'type': 'print'}]",1462,en,1462,[[1906]],,,,,,,,,
Buffalo :,0,"Matthews-Northrup,",[],10.5962/bhl.title.33142,monograph,Crossref,2,"['Where, when, and how to catch fish on the east coast of Florida, by William H. Gregg, assisted by Capt. John Gardner.']",10.5962,"[{'given': 'William H.', 'family': 'Gregg', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.33142,[],"[[2023, 10, 26]]",2023-10-26T20:08:33Z,1698350913746,[],False,[[1902]],"[[2011, 11, 22]]",2011-11-22T22:05:43Z,1321999543000,"[[2011, 11, 22]]",2011-11-22T22:05:53Z,1321999553000,http://www.biodiversitylibrary.org/bibliography/33142,[[1902]],[[1902]],,,,,,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5962/p.313802,journal-article,Crossref,2,"[""Placopsilina' cenomana d'Orbigny from France and England and the type species of Placopsilina d'Orbigny, 1850 (Foraminifera)""]",10.5962,"[{'given': 'Richard Lloyd', 'family': 'Hodgkinson', 'sequence': 'first', 'affiliation': []}]",3444,['Bulletin of the British Museum (Natural History) Geology'],[],1,[],[],0,https://doi.org/10.5962/p.313802,[],"[[2023, 5, 16]]",2023-05-16T09:33:12Z,1684229592615,[],False,"[[1992, 6, 25]]","[[2021, 6, 10]]",2021-06-10T08:04:46Z,1623312286000,"[[2021, 6, 10]]",2021-06-10T08:04:46Z,1623312286000,https://www.biodiversitylibrary.org/part/313802,"[[1992, 6, 25]]","[[1992, 6, 25]]",1-8,48,['0007-1471'],"[{'value': '0007-1471', 'type': 'print'}]",1,,1,"[[1992, 6, 25]]",,,,,,,,,
,0,[s.n.],[],10.5962/bhl.title.142240,monograph,Crossref,1,"['McFarlane, Robert W., 1963']",10.5962,"[{'given': 'Robert W.', 'family': 'McFarlane', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.142240,[],"[[2023, 9, 1]]",2023-09-01T02:14:51Z,1693534491942,[],False,[[1963]],"[[2017, 12, 17]]",2017-12-17T01:02:11Z,1513472531000,"[[2017, 12, 17]]",2017-12-17T01:02:11Z,1513472531000,https://www.biodiversitylibrary.org/bibliography/142240,[[1963]],[[1963]],,,,,,,,,,,,,,,,,
"New York,",0,The Greenwich printing company,[],10.5962/bhl.title.42454,monograph,Crossref,1,"['Trees and shrubs of Prospect park,']",10.5962,"[{'given': 'Louis Harman', 'family': 'Peet', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.42454,[],"[[2023, 6, 22]]",2023-06-22T11:08:54Z,1687432134629,[],False,[[1906]],"[[2011, 11, 23]]",2011-11-23T17:27:20Z,1322069240000,"[[2011, 11, 23]]",2011-11-23T17:27:35Z,1322069255000,http://www.biodiversitylibrary.org/bibliography/42454,[[1906]],[[1906]],,,,,,,,,,,,,,,,,
"Washington, D.C. :",0,"U.S. Dept. of Agriculture,",[],10.5962/bhl.title.65831,monograph,Crossref,3,['The rat mite attacking man /'],10.5962,"[{'given': 'F. C.', 'family': 'Bishopp', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.65831,[],"[[2023, 9, 12]]",2023-09-12T19:28:02Z,1694546882414,[],False,[[1923]],"[[2013, 6, 30]]",2013-06-30T06:04:19Z,1372572259000,"[[2013, 6, 30]]",2013-06-30T06:04:19Z,1372572259000,http://www.biodiversitylibrary.org/bibliography/65831,[[1923]],[[1923]],,,,,,,,,,,,,,,,,
